测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_glibc_getaddrinfo_01,fail,./mugen-riscv/logs/AT/oe_test_glibc_getaddrinfo_01/2023-04-29-04:50:30.log,
,oe_test_golang,fail,./mugen-riscv/logs/AT/oe_test_golang/2023-04-29-03:09:47.log,file missing
,oe_test_grub2_mkconfig,fail,./mugen-riscv/logs/AT/oe_test_grub2_mkconfig/2023-04-29-04:53:11.log,preinstall absent
,oe_test_ifconfig_ipv6_01,fail,./mugen-riscv/logs/AT/oe_test_ifconfig_ipv6_01/2023-04-29-04:54:20.log,file missing
,oe_test_ip6tables_01,fail,./mugen-riscv/logs/AT/oe_test_ip6tables_01/2023-04-29-04:54:57.log,
,oe_test_ip_ipv6_01,fail,./mugen-riscv/logs/AT/oe_test_ip_ipv6_01/2023-04-29-04:55:26.log,
,oe_test_ip_ipv6_02,fail,./mugen-riscv/logs/AT/oe_test_ip_ipv6_02/2023-04-29-04:55:55.log,
,oe_test_ip_ipv6_03,fail,./mugen-riscv/logs/AT/oe_test_ip_ipv6_03/2023-04-29-04:56:31.log,
,oe_test_ip_ipv6_04,fail,./mugen-riscv/logs/AT/oe_test_ip_ipv6_04/2023-04-29-04:56:48.log,
,oe_test_ip_rule_01,fail,./mugen-riscv/logs/AT/oe_test_ip_rule_01/2023-04-29-04:58:05.log,CONFIG_IP_MULTIPLE_TABLES is not set
,oe_test_ip_rule_02,fail,./mugen-riscv/logs/AT/oe_test_ip_rule_02/2023-04-29-04:58:21.log,CONFIG_IP_MULTIPLE_TABLES is not set
,oe_test_iproute_ipv6_01,fail,./mugen-riscv/logs/AT/oe_test_iproute_ipv6_01/2023-04-29-04:57:28.log,
,oe_test_iptables-save,fail,./mugen-riscv/logs/AT/oe_test_iptables-save/2023-04-29-04:58:43.log,
,oe_test_ipv6_VLAN_01,fail,./mugen-riscv/logs/AT/oe_test_ipv6_VLAN_01/2023-04-29-05:04:11.log,
,oe_test_ipv6_VLAN_02,fail,./mugen-riscv/logs/AT/oe_test_ipv6_VLAN_02/2023-04-29-05:04:28.log,
,oe_test_iscsid,fail,./mugen-riscv/logs/AT/oe_test_iscsid/2023-04-29-05:06:01.log,can not create NETLINK_ISCSI socket [Protocol not supported]可能为内核问题
,oe_test_mtr,fail,./mugen-riscv/logs/AT/oe_test_mtr/2023-04-29-06:34:05.log,
,oe_test_ncurses,fail,./mugen-riscv/logs/AT/oe_test_ncurses/2023-04-29-05:19:24.log,
,oe_test_normal_tcpdump_02,fail,./mugen-riscv/logs/AT/oe_test_normal_tcpdump_02/2023-04-29-07:24:28.log,file missing/timeout
,oe_test_normal_tcpdump_03,fail,./mugen-riscv/logs/AT/oe_test_normal_tcpdump_03/2023-04-29-05:27:14.log,file missing
,oe_test_normal_tcpdump_04,fail,./mugen-riscv/logs/AT/oe_test_normal_tcpdump_04/2023-04-29-07:25:19.log,file missing
,oe_test_os-prober_01,fail,./mugen-riscv/logs/AT/oe_test_os-prober_01/2023-04-29-05:29:35.log,preinstall absent
,oe_test_os-prober_02,fail,./mugen-riscv/logs/AT/oe_test_os-prober_02/2023-04-29-05:29:49.log,preinstall absent
,oe_test_perf_top_01,fail,./mugen-riscv/logs/AT/oe_test_perf_top_01/2023-04-29-07:27:01.log,file missing
,oe_test_route_ipv6,fail,./mugen-riscv/logs/AT/oe_test_route_ipv6/2023-04-29-05:38:09.log,
,oe_test_rsyslog_01,fail,./mugen-riscv/logs/AT/oe_test_rsyslog_01/2023-04-29-05:42:07.log,preinstall absent
,oe_test_rsyslog_02,fail,./mugen-riscv/logs/AT/oe_test_rsyslog_02/2023-04-29-05:42:30.log,preinstall absent
,oe_test_rsyslog_03,fail,./mugen-riscv/logs/AT/oe_test_rsyslog_03/2023-04-29-05:42:46.log,preinstall absent
,oe_test_rsyslog_04,fail,./mugen-riscv/logs/AT/oe_test_rsyslog_04/2023-04-29-05:43:06.log,preinstall absent
,oe_test_rsyslog_05,fail,./mugen-riscv/logs/AT/oe_test_rsyslog_05/2023-04-29-05:43:46.log,preinstall absent
,oe_test_rsyslog_06,fail,./mugen-riscv/logs/AT/oe_test_rsyslog_06/2023-04-29-05:48:41.log,preinstall absent
,oe_test_rsyslog_07,fail,./mugen-riscv/logs/AT/oe_test_rsyslog_07/2023-04-29-05:49:08.log,preinstall absent
,oe_test_rsyslog_08,fail,./mugen-riscv/logs/AT/oe_test_rsyslog_08/2023-04-29-05:49:26.log,file missing
,oe_test_rsyslog_09,fail,./mugen-riscv/logs/AT/oe_test_rsyslog_09/2023-04-29-05:50:24.log,preinstall absent
,oe_test_rsyslog_10,fail,./mugen-riscv/logs/AT/oe_test_rsyslog_10/2023-04-29-05:51:26.log,PMU Hardware doesn't support sampling/overflow-interrupts.
,oe_test_rule_ipv6,fail,./mugen-riscv/logs/AT/oe_test_rule_ipv6/2023-04-29-06:06:44.log,CONFIG_IP_MULTIPLE_TABLES is not set
,oe_test_sevice_001,fail,./mugen-riscv/logs/AT/oe_test_sevice_001/2023-04-29-03:35:22.log,
,oe_test_stat,fail,./mugen-riscv/logs/AT/oe_test_stat/2023-04-29-06:08:58.log,
,oe_test_systemd_SCEN_01,fail,./mugen-riscv/logs/AT/oe_test_systemd_SCEN_01/2023-04-29-06:26:34.log,systemd unit restart failure
,oe_test_systemd_journald,fail,./mugen-riscv/logs/AT/oe_test_systemd_journald/2023-04-29-06:15:30.log,preinstall absent
,oe_test_tftp_ipv6,fail,./mugen-riscv/logs/AT/oe_test_tftp_ipv6/2023-04-29-06:19:12.log,file missing
,oe_test_user_debug_iotop_03,fail,./mugen-riscv/logs/AT/oe_test_user_debug_iotop_03/2023-04-29-07:33:31.log,file missing
NetworkManager,oe_test_libnetfilter_conntrack,fail,./mugen-riscv/logs/NetworkManager/oe_test_libnetfilter_conntrack/2023-05-25-16_27_41.log,镜像没有预装测试所需的 kernel-headers
OpenIPMI,oe_test_service_ipmi,fail,./mugen-riscv/logs/OpenIPMI/oe_test_service_ipmi/2023-05-25-21_21_10.log,
